Date,Summary,Precip Type,Temperature (C),Humidity,Wind Speed (km/h)
2006-04-10 10:00:00.000 +0200,Mostly Cloudy,rain,15.19,0.59,17.25
2006-04-10 11:00:00.000 +0200,Mostly Cloudy,rain,17.46,0.5,22.48
2006-04-10 12:00:00.000 +0200,Mostly Cloudy,rain,19.11,0.44,23.59
2006-04-10 13:00:00.000 +0200,Mostly Cloudy,rain,20.14,0.38,28.07
2006-04-10 14:00:00.000 +0200,Mostly Cloudy,rain,21.15,0.38,26.6
2006-04-10 15:00:00.000 +0200,Mostly Cloudy,rain,21.28,0.35,25.4
2006-04-10 16:00:00.000 +0200,Mostly Cloudy,rain,20.22,0.38,25.01
2006-04-10 17:00:00.000 +0200,Mostly Cloudy,rain,20.32,0.34,17.81
2006-04-10 18:00:00.000 +0200,Mostly Cloudy,rain,20.1,0.41,23.13
2006-04-10 19:00:00.000 +0200,Mostly Cloudy,rain,17.9,0.48,19.74
2006-04-10 20:00:00.000 +0200,Mostly Cloudy,rain,16.16,0.51,21.1
2006-04-10 21:00:00.000 +0200,Mostly Cloudy,rain,15.12,0.53,21.08
2006-04-10 22:00:00.000 +0200,Overcast,rain,14.52,0.56,19.71
2006-04-10 23:00:00.000 +0200,Overcast,rain,14.36,0.57,16.2
2006-04-11 00:00:00.000 +0200,Overcast,rain,13.87,0.58,16.8
2006-04-11 01:00:00.000 +0200,Overcast,rain,13.38,0.61,14.06
2006-04-11 02:00:00.000 +0200,Overcast,rain,8.73,0.85,21.74
2006-04-11 03:00:00.000 +0200,Overcast,rain,11.35,0.81,11.03
2006-04-11 04:00:00.000 +0200,Overcast,rain,11.28,0.87,10.91
2006-04-11 05:00:00.000 +0200,Overcast,rain,10.79,0.93,10.1
2006-04-11 06:00:00.000 +0200,Mostly Cloudy,rain,11.21,0.91,11.71
2006-04-11 07:00:00.000 +0200,Mostly Cloudy,rain,11.21,0.91,8.91
2006-04-11 08:00:00.000 +0200,Partly Cloudy,rain,12.27,0.8,9.6
2006-04-11 09:00:00.000 +0200,Partly Cloudy,rain,12.86,0.77,13.53
2006-04-11 10:00:00.000 +0200,Partly Cloudy,rain,13.94,0.82,8.8
2006-04-11 11:00:00.000 +0200,Partly Cloudy,rain,16.28,0.71,0.34
2006-04-11 12:00:00.000 +0200,Mostly Cloudy,rain,17.62,0.65,0.38
2006-04-11 13:00:00.000 +0200,Mostly Cloudy,rain,17.48,0.65,3.56
2006-04-11 14:00:00.000 +0200,Mostly Cloudy,rain,17.46,0.69,7.52
2006-04-11 15:00:00.000 +0200,Mostly Cloudy,rain,17.31,0.72,15.28
2006-04-11 16:00:00.000 +0200,Mostly Cloudy,rain,15.73,0.79,23.4
2006-04-11 17:00:00.000 +0200,Overcast,rain,13.68,0.88,20.66
2006-04-11 18:00:00.000 +0200,Foggy,rain,11.01,0.84,22.1
2006-04-11 19:00:00.000 +0200,Foggy,rain,8.9,0.97,26.2
2006-04-11 20:00:00.000 +0200,Overcast,rain,9.06,0.91,22.92
2006-04-11 21:00:00.000 +0200,Overcast,rain,8.3,0.94,25.12
2006-04-11 22:00:00.000 +0200,Overcast,rain,7.79,0.94,27.83
2006-04-11 23:00:00.000 +0200,Overcast,rain,7.87,0.94,18.99
2006-04-12 00:00:00.000 +0200,Foggy,rain,8.3,0.94,20.15
2006-04-12 01:00:00.000 +0200,Foggy,rain,8.28,0.91,27.57
2006-04-12 02:00:00.000 +0200,Mostly Cloudy,rain,7.41,0.8,6.45
2006-04-12 03:00:00.000 +0200,Overcast,rain,7.74,0.91,14.61
2006-04-12 04:00:00.000 +0200,Overcast,rain,6.72,0.91,24.74
2006-04-12 05:00:00.000 +0200,Overcast,rain,6.78,0.91,19.54
2006-04-12 06:00:00.000 +0200,Overcast,rain,6.19,0.91,27.79
2006-04-12 07:00:00.000 +0200,Overcast,rain,6.17,0.91,27.68
2006-04-12 08:00:00.000 +0200,Breezy and Mostly Cloudy,rain,6.24,0.91,30.56
2006-04-12 09:00:00.000 +0200,Breezy and Mostly Cloudy,rain,7.23,0.78,31.87
2006-04-12 10:00:00.000 +0200,Overcast,rain,7.31,0.84,26.23
2006-04-12 11:00:00.000 +0200,Mostly Cloudy,rain,7.67,0.82,28.04
2006-04-12 12:00:00.000 +0200,Mostly Cloudy,rain,9,0.75,29.53
2006-04-12 13:00:00.000 +0200,Mostly Cloudy,rain,10.06,0.69,28.18
2006-04-12 14:00:00.000 +0200,Mostly Cloudy,rain,9.99,0.69,28.21
2006-04-12 15:00:00.000 +0200,Mostly Cloudy,rain,11.17,0.69,25.4
2006-04-12 16:00:00.000 +0200,Overcast,rain,10.22,0.74,25.04
2006-04-12 17:00:00.000 +0200,Overcast,rain,11.14,0.64,21.11
2006-04-12 18:00:00.000 +0200,Overcast,rain,10.75,0.68,17.55
2006-04-12 19:00:00.000 +0200,Overcast,rain,10.15,0.68,14.9
2006-04-12 20:00:00.000 +0200,Mostly Cloudy,rain,10,0.64,15.43
2006-04-12 21:00:00.000 +0200,Overcast,rain,8.89,0.69,12.06
2006-04-12 22:00:00.000 +0200,Mostly Cloudy,rain,7.93,0.7,13.59
2006-04-12 23:00:00.000 +0200,Overcast,rain,7.96,0.7,9.5
2006-04-13 00:00:00.000 +0200,Mostly Cloudy,rain,7.42,0.73,6.37
2006-04-13 01:00:00.000 +0200,Overcast,rain,7.34,0.73,6.82
2006-04-13 02:00:00.000 +0200,Partly Cloudy,rain,5.54,0.86,3.42
2006-04-13 03:00:00.000 +0200,Overcast,rain,7.3,0.74,14.17
2006-04-13 04:00:00.000 +0200,Overcast,rain,6.79,0.68,20.23
2006-04-13 05:00:00.000 +0200,Overcast,rain,6.31,0.71,19
2006-04-13 06:00:00.000 +0200,Overcast,rain,6.21,0.74,17.14
2006-04-13 07:00:00.000 +0200,Overcast,rain,6.21,0.74,20.11
2006-04-13 08:00:00.000 +0200,Overcast,rain,6.27,0.74,16.75
2006-04-13 09:00:00.000 +0200,Overcast,rain,7.32,0.69,20.21
2006-04-13 10:00:00.000 +0200,Overcast,rain,7.39,0.71,17.35
2006-04-13 11:00:00.000 +0200,Overcast,rain,7.51,0.7,14.11
2006-04-13 12:00:00.000 +0200,Overcast,rain,8.06,0.68,10.45
2006-04-13 13:00:00.000 +0200,Overcast,rain,8.13,0.68,4.56
2006-04-13 14:00:00.000 +0200,Overcast,rain,9.18,0.63,2.08
2006-04-13 15:00:00.000 +0200,Overcast,rain,9.15,0.6,0.02
2006-04-13 16:00:00.000 +0200,Overcast,rain,9.15,0.63,2.95
2006-04-13 17:00:00.000 +0200,Overcast,rain,9.28,0.63,2.71
2006-04-13 18:00:00.000 +0200,Overcast,rain,9.17,0.68,10.17
2006-04-13 19:00:00.000 +0200,Overcast,rain,8.08,0.73,7.04
2006-04-13 20:00:00.000 +0200,Overcast,rain,8.17,0.73,9.22
2006-04-13 21:00:00.000 +0200,Overcast,rain,7.99,0.8,9.7
2006-04-13 22:00:00.000 +0200,Overcast,rain,7.41,0.81,13.39
2006-04-13 23:00:00.000 +0200,Mostly Cloudy,rain,7.44,0.82,11.24
2006-04-14 00:00:00.000 +0200,Mostly Cloudy,rain,6.72,0.83,12.42
2006-04-14 01:00:00.000 +0200,Partly Cloudy,rain,6.17,0.86,12.6
2006-04-14 02:00:00.000 +0200,Partly Cloudy,rain,8.44,0.86,0.39
2006-04-14 03:00:00.000 +0200,Mostly Cloudy,rain,5.28,0.89,5.24
2006-04-14 04:00:00.000 +0200,Mostly Cloudy,rain,3.82,0.92,4.9
2006-04-14 05:00:00.000 +0200,Mostly Cloudy,rain,4.96,0.91,5.32
2006-04-14 06:00:00.000 +0200,Foggy,rain,5.31,0.9,4.47
2006-04-14 07:00:00.000 +0200,Overcast,rain,6.36,0.9,7.62
2006-04-14 08:00:00.000 +0200,Mostly Cloudy,rain,7.89,0.85,9.46
2006-04-14 09:00:00.000 +0200,Mostly Cloudy,rain,10.15,0.74,9.39
2006-04-14 10:00:00.000 +0200,Mostly Cloudy,rain,12.3,0.64,14.19
2006-04-14 11:00:00.000 +0200,Mostly Cloudy,rain,12.8,0.61,20.03
2006-04-14 12:00:00.000 +0200,Partly Cloudy,rain,14.03,0.56,23.29
2006-04-14 13:00:00.000 +0200,Partly Cloudy,rain,15.19,0.57,22
2006-04-14 14:00:00.000 +0200,Mostly Cloudy,rain,15.25,0.48,14.42
2006-04-14 15:00:00.000 +0200,Partly Cloudy,rain,16.28,0.42,14.19
2006-04-14 16:00:00.000 +0200,Partly Cloudy,rain,16.35,0.53,14.42
2006-04-14 17:00:00.000 +0200,Partly Cloudy,rain,16.39,0.48,19.29
2006-04-14 18:00:00.000 +0200,Partly Cloudy,rain,16.2,0.54,14.53
2006-04-14 19:00:00.000 +0200,Partly Cloudy,rain,13.06,0.66,11.68
2006-04-14 20:00:00.000 +0200,Mostly Cloudy,rain,13.95,0.62,11.26
2006-04-14 21:00:00.000 +0200,Mostly Cloudy,rain,12.88,0.67,13.95
2006-04-14 22:00:00.000 +0200,Mostly Cloudy,rain,12.25,0.7,10.95
2006-04-14 23:00:00.000 +0200,Mostly Cloudy,rain,10.78,0.79,5.48
2006-04-15 00:00:00.000 +0200,Mostly Cloudy,rain,10.54,0.81,2.34
2006-04-15 01:00:00.000 +0200,Mostly Cloudy,rain,9.92,0.78,5.01
2006-04-15 02:00:00.000 +0200,Mostly Cloudy,rain,11.13,0.72,11.08
2006-04-15 03:00:00.000 +0200,Mostly Cloudy,rain,7.24,0.91,3.35
2006-04-15 04:00:00.000 +0200,Mostly Cloudy,rain,7.72,0.87,10.57
2006-04-15 05:00:00.000 +0200,Mostly Cloudy,rain,7.73,0.84,6.22
2006-04-15 06:00:00.000 +0200,Mostly Cloudy,rain,7.14,0.84,11.1
2006-04-15 07:00:00.000 +0200,Partly Cloudy,rain,8.7,0.82,9.36
2006-04-15 08:00:00.000 +0200,Partly Cloudy,rain,9.75,0.82,15.66
2006-04-15 09:00:00.000 +0200,Partly Cloudy,rain,12.21,0.7,12.87
2006-04-15 10:00:00.000 +0200,Partly Cloudy,rain,12.88,0.69,12.87
2006-04-15 11:00:00.000 +0200,Partly Cloudy,rain,13.91,0.63,9.38
2006-04-15 12:00:00.000 +0200,Partly Cloudy,rain,16.12,0.46,10.94
2006-04-15 13:00:00.000 +0200,Partly Cloudy,rain,17.23,0.45,12.4
2006-04-15 14:00:00.000 +0200,Partly Cloudy,rain,17.24,0.41,10.31
2006-04-15 15:00:00.000 +0200,Mostly Cloudy,rain,17.88,0.38,7.65
2006-04-15 16:00:00.000 +0200,Mostly Cloudy,rain,17.88,0.35,2.29
2006-04-15 17:00:00.000 +0200,Mostly Cloudy,rain,17.91,0.41,10.71
2006-04-15 18:00:00.000 +0200,Mostly Cloudy,rain,16.26,0.5,8.89
2006-04-15 19:00:00.000 +0200,Mostly Cloudy,rain,14.15,0.61,8.86
2006-04-15 20:00:00.000 +0200,Mostly Cloudy,rain,13.19,0.65,8.97
2006-04-15 21:00:00.000 +0200,Mostly Cloudy,rain,12.39,0.7,9.15
2006-04-15 22:00:00.000 +0200,Overcast,rain,12.88,0.64,10.78
2006-04-15 23:00:00.000 +0200,Overcast,rain,12.83,0.65,13.08
2006-04-16 00:00:00.000 +0200,Overcast,rain,12.37,0.67,13.84
2006-04-16 01:00:00.000 +0200,Overcast,rain,11.81,0.69,11.02
2006-04-16 02:00:00.000 +0200,Partly Cloudy,rain,10.93,0.84,8.88
2006-04-16 03:00:00.000 +0200,Overcast,rain,12.3,0.57,13.87
2006-04-16 04:00:00.000 +0200,Overcast,rain,12.3,0.58,14
2006-04-16 05:00:00.000 +0200,Overcast,rain,11.79,0.66,13.53
2006-04-16 06:00:00.000 +0200,Overcast,rain,11.31,0.75,13.71
2006-04-16 07:00:00.000 +0200,Mostly Cloudy,rain,11.23,0.75,15.19
2006-04-16 08:00:00.000 +0200,Mostly Cloudy,rain,11.54,0.75,13.58
2006-04-16 09:00:00.000 +0200,Mostly Cloudy,rain,13.13,0.79,14.16
2006-04-16 10:00:00.000 +0200,Mostly Cloudy,rain,17.34,0.6,24.72
2006-04-16 11:00:00.000 +0200,Mostly Cloudy,rain,17.84,0.51,27.07
2006-04-16 12:00:00.000 +0200,Overcast,rain,17.94,0.54,21.92
2006-04-16 13:00:00.000 +0200,Mostly Cloudy,rain,18.96,0.54,23.24
2006-04-16 14:00:00.000 +0200,Overcast,rain,18.77,0.54,19.6
2006-04-16 15:00:00.000 +0200,Overcast,rain,17.92,0.54,17.2
2006-04-16 16:00:00.000 +0200,Overcast,rain,17.9,0.57,17.39
2006-04-16 17:00:00.000 +0200,Mostly Cloudy,rain,17.45,0.55,19.26
2006-04-16 18:00:00.000 +0200,Mostly Cloudy,rain,16.17,0.65,21.52
2006-04-16 19:00:00.000 +0200,Mostly Cloudy,rain,15.03,0.71,16.98
2006-04-16 20:00:00.000 +0200,Mostly Cloudy,rain,14.02,0.76,11.47
2006-04-16 21:00:00.000 +0200,Mostly Cloudy,rain,12.86,0.82,10.74
2006-04-16 22:00:00.000 +0200,Mostly Cloudy,rain,12.86,0.82,10.76
2006-04-16 23:00:00.000 +0200,Mostly Cloudy,rain,12.47,0.84,6.99
2006-04-17 00:00:00.000 +0200,Mostly Cloudy,rain,11.28,0.91,6.62
2006-04-17 01:00:00.000 +0200,Mostly Cloudy,rain,11.77,0.88,10.87
2006-04-17 02:00:00.000 +0200,Partly Cloudy,rain,9.08,0.93,10.02
2006-04-17 03:00:00.000 +0200,Mostly Cloudy,rain,10.68,0.91,10.87
2006-04-17 04:00:00.000 +0200,Mostly Cloudy,rain,10.63,0.87,13.71
2006-04-17 05:00:00.000 +0200,Mostly Cloudy,rain,10.69,0.85,6.99
2006-04-17 06:00:00.000 +0200,Mostly Cloudy,rain,10.08,0.87,6.43
2006-04-17 07:00:00.000 +0200,Mostly Cloudy,rain,11.12,0.84,7.59
2006-04-17 08:00:00.000 +0200,Partly Cloudy,rain,13.64,0.73,11.57
2006-04-17 09:00:00.000 +0200,Partly Cloudy,rain,13.99,0.66,19.71
2006-04-17 10:00:00.000 +0200,Partly Cloudy,rain,15.1,0.65,17.28
2006-04-17 11:00:00.000 +0200,Partly Cloudy,rain,17.28,0.55,15.66
2006-04-17 12:00:00.000 +0200,Mostly Cloudy,rain,16.3,0.6,16.01
2006-04-17 13:00:00.000 +0200,Mostly Cloudy,rain,17.85,0.54,17.47
2006-04-17 14:00:00.000 +0200,Mostly Cloudy,rain,18.51,0.52,18.78
2006-04-17 15:00:00.000 +0200,Partly Cloudy,rain,17.92,0.57,17.3
2006-04-17 16:00:00.000 +0200,Partly Cloudy,rain,17.41,0.55,20.03
2006-04-17 17:00:00.000 +0200,Partly Cloudy,rain,17.61,0.53,13.42
2006-04-17 18:00:00.000 +0200,Mostly Cloudy,rain,17.37,0.52,14.08
2006-04-17 19:00:00.000 +0200,Mostly Cloudy,rain,15.24,0.59,10.6
2006-04-17 20:00:00.000 +0200,Mostly Cloudy,rain,13.35,0.67,4.42
2006-04-17 21:00:00.000 +0200,Partly Cloudy,rain,12.39,0.7,4.37
2006-04-17 22:00:00.000 +0200,Partly Cloudy,rain,10.8,0.77,3.27
2006-04-17 23:00:00.000 +0200,Partly Cloudy,rain,9.96,0.83,5.45
2006-04-18 00:00:00.000 +0200,Partly Cloudy,rain,9.62,0.86,10.97
2006-04-18 01:00:00.000 +0200,Partly Cloudy,rain,8.51,0.9,2.82
2006-04-18 02:00:00.000 +0200,Mostly Cloudy,rain,13.11,0.8,9.33
2006-04-18 03:00:00.000 +0200,Partly Cloudy,rain,7.83,0.94,3.13
2006-04-18 04:00:00.000 +0200,Partly Cloudy,rain,6.24,0.94,3.05
2006-04-18 05:00:00.000 +0200,Partly Cloudy,rain,6.57,0.93,2.69
2006-04-18 06:00:00.000 +0200,Foggy,rain,6.73,0.94,3
2006-04-18 07:00:00.000 +0200,Clear,rain,8.79,0.91,1.13
2006-04-18 08:00:00.000 +0200,Partly Cloudy,rain,12.09,0.79,2.12
2006-04-18 09:00:00.000 +0200,Partly Cloudy,rain,13.87,0.76,3.85
2006-04-18 10:00:00.000 +0200,Partly Cloudy,rain,15.19,0.75,7.07
2006-04-18 11:00:00.000 +0200,Partly Cloudy,rain,16.56,0.66,7.51
2006-04-18 12:00:00.000 +0200,Partly Cloudy,rain,17.41,0.6,7.07
2006-04-18 13:00:00.000 +0200,Partly Cloudy,rain,17.97,0.62,8.07
2006-04-18 14:00:00.000 +0200,Partly Cloudy,rain,19.14,0.45,6.77
2006-04-18 15:00:00.000 +0200,Partly Cloudy,rain,19.08,0.49,10.57
2006-04-18 16:00:00.000 +0200,Partly Cloudy,rain,19.11,0.53,4.51
2006-04-18 17:00:00.000 +0200,Mostly Cloudy,rain,19.11,0.51,4.5
2006-04-18 18:00:00.000 +0200,Mostly Cloudy,rain,17.97,0.62,10.63
2006-04-18 19:00:00.000 +0200,Mostly Cloudy,rain,17.37,0.6,10.55
2006-04-18 20:00:00.000 +0200,Mostly Cloudy,rain,16.29,0.59,4.79
2006-04-18 21:00:00.000 +0200,Mostly Cloudy,rain,14.98,0.7,8.88
2006-04-18 22:00:00.000 +0200,Mostly Cloudy,rain,14.43,0.73,10.63
2006-04-18 23:00:00.000 +0200,Overcast,rain,14.61,0.73,6.08
2006-04-19 00:00:00.000 +0200,Overcast,rain,14.47,0.73,6.24
2006-04-19 01:00:00.000 +0200,Overcast,rain,14.98,0.7,13.92
2006-04-19 02:00:00.000 +0200,Foggy,rain,10.51,0.9,3.31
2006-04-19 03:00:00.000 +0200,Overcast,rain,12.92,0.81,8.14
2006-04-19 04:00:00.000 +0200,Overcast,rain,12.9,0.83,14.13
2006-04-19 05:00:00.000 +0200,Overcast,rain,12.93,0.84,13.59
2006-04-19 06:00:00.000 +0200,Overcast,rain,12.37,0.83,15.48
2006-04-19 07:00:00.000 +0200,Overcast,rain,12.37,0.83,15.28
2006-04-19 08:00:00.000 +0200,Mostly Cloudy,rain,12.28,0.8,12.08
2006-04-19 09:00:00.000 +0200,Overcast,rain,12.27,0.78,20.08
2006-04-19 10:00:00.000 +0200,Overcast,rain,12.81,0.81,21.79
2006-04-19 11:00:00.000 +0200,Mostly Cloudy,rain,15.71,0.76,22.05
2006-04-19 12:00:00.000 +0200,Mostly Cloudy,rain,16.12,0.76,17.76
2006-04-19 13:00:00.000 +0200,Mostly Cloudy,rain,17.3,0.65,17.35
2006-04-19 14:00:00.000 +0200,Overcast,rain,17.32,0.69,13.79
2006-04-19 15:00:00.000 +0200,Mostly Cloudy,rain,17.93,0.67,13.11
2006-04-19 16:00:00.000 +0200,Mostly Cloudy,rain,17.93,0.67,14.32
2006-04-19 17:00:00.000 +0200,Partly Cloudy,rain,17.83,0.67,8.94
2006-04-19 18:00:00.000 +0200,Mostly Cloudy,rain,16.37,0.69,22.77
2006-04-19 19:00:00.000 +0200,Overcast,rain,13.27,0.91,3.47
2006-04-19 20:00:00.000 +0200,Overcast,rain,13.36,0.91,2.84
2006-04-19 21:00:00.000 +0200,Overcast,rain,13.11,0.91,10.04
2006-04-19 22:00:00.000 +0200,Mostly Cloudy,rain,12.56,0.89,5.5
2006-04-19 23:00:00.000 +0200,Mostly Cloudy,rain,12.59,0.88,9.59
2006-04-02 00:00:00.000 +0200,Mostly Cloudy,rain,9.66,0.78,6.19
2006-04-02 01:00:00.000 +0200,Mostly Cloudy,rain,10.72,0.77,13.72
2006-04-02 02:00:00.000 +0200,Partly Cloudy,rain,8.82,0.91,4.27
2006-04-02 03:00:00.000 +0200,Mostly Cloudy,rain,10.63,0.75,10.47
2006-04-02 04:00:00.000 +0200,Mostly Cloudy,rain,9.54,0.81,6.24
2006-04-02 05:00:00.000 +0200,Mostly Cloudy,rain,9.99,0.81,5.79
2006-04-02 06:00:00.000 +0200,Mostly Cloudy,rain,10.47,0.76,10.41
2006-04-02 07:00:00.000 +0200,Partly Cloudy,rain,8.99,0.87,10.2
2006-04-02 08:00:00.000 +0200,Partly Cloudy,rain,10.08,0.82,7.7
2006-04-02 09:00:00.000 +0200,Mostly Cloudy,rain,12.3,0.71,2.16
2006-04-02 10:00:00.000 +0200,Mostly Cloudy,rain,14.06,0.65,9.01
2006-04-02 11:00:00.000 +0200,Mostly Cloudy,rain,15.04,0.65,6.86
2006-04-02 12:00:00.000 +0200,Mostly Cloudy,rain,16.28,0.69,11.45
2006-04-02 13:00:00.000 +0200,Partly Cloudy,rain,16.47,0.59,6.83
2006-04-02 14:00:00.000 +0200,Partly Cloudy,rain,17.47,0.55,3.32
2006-04-02 15:00:00.000 +0200,Partly Cloudy,rain,17.77,0.49,1.45
2006-04-02 16:00:00.000 +0200,Partly Cloudy,rain,17.82,0.51,8.38
2006-04-02 17:00:00.000 +0200,Partly Cloudy,rain,16.34,0.59,2.53
2006-04-02 18:00:00.000 +0200,Mostly Cloudy,rain,14.17,0.69,8.94
2006-04-02 19:00:00.000 +0200,Partly Cloudy,rain,14.06,0.74,7.12
2006-04-02 20:00:00.000 +0200,Partly Cloudy,rain,12.39,0.78,3.24
2006-04-02 21:00:00.000 +0200,Partly Cloudy,rain,10.12,0.84,2.81
2006-04-02 22:00:00.000 +0200,Partly Cloudy,rain,9.48,0.84,6.14
2006-04-02 23:00:00.000 +0200,Partly Cloudy,rain,9.52,0.88,4.3
2006-04-20 00:00:00.000 +0200,Partly Cloudy,rain,11.93,0.9,2.73
2006-04-20 01:00:00.000 +0200,Foggy,rain,10.86,0.89,4.87
2006-04-20 02:00:00.000 +0200,Mostly Cloudy,rain,12.26,0.93,2.55
2006-04-20 03:00:00.000 +0200,Foggy,rain,9.77,0.92,5.42
2006-04-20 04:00:00.000 +0200,Foggy,rain,8.25,0.92,6.46
2006-04-20 05:00:00.000 +0200,Foggy,rain,10.3,0.93,5.32
2006-04-20 06:00:00.000 +0200,Foggy,rain,10.22,0.97,1.95
2006-04-20 07:00:00.000 +0200,Foggy,rain,10.26,0.97,0.04
2006-04-20 08:00:00.000 +0200,Foggy,rain,11.34,0.96,2.45
2006-04-20 09:00:00.000 +0200,Foggy,rain,12.34,0.97,1.95
2006-04-20 10:00:00.000 +0200,Overcast,rain,14.01,0.9,7.8
2006-04-20 11:00:00.000 +0200,Partly Cloudy,rain,15.72,0.8,1.99
2006-04-20 12:00:00.000 +0200,Partly Cloudy,rain,15.17,0.84,2.98
2006-04-20 13:00:00.000 +0200,Partly Cloudy,rain,15.17,0.8,7.3
2006-04-20 14:00:00.000 +0200,Overcast,rain,14.37,0.85,10.26
2006-04-20 15:00:00.000 +0200,Mostly Cloudy,rain,16.12,0.79,6.37
2006-04-20 16:00:00.000 +0200,Overcast,rain,15.13,0.84,7.41
2006-04-20 17:00:00.000 +0200,Overcast,rain,14.04,0.87,6.98
2006-04-20 18:00:00.000 +0200,Overcast,rain,13.02,0.93,11.18
2006-04-20 19:00:00.000 +0200,Overcast,rain,12.99,0.93,4.98
2006-04-20 20:00:00.000 +0200,Overcast,rain,12.5,0.96,2.05
2006-04-20 21:00:00.000 +0200,Clear,rain,12.37,0.97,7.75
2006-04-20 22:00:00.000 +0200,Mostly Cloudy,rain,12.32,0.94,5.9
2006-04-20 23:00:00.000 +0200,Mostly Cloudy,rain,11.35,0.94,2.47
2006-04-21 00:00:00.000 +0200,Mostly Cloudy,rain,11.63,0.94,2.86
2006-04-21 01:00:00.000 +0200,Foggy,rain,11.64,0.94,5.69
2006-04-21 02:00:00.000 +0200,Foggy,rain,9.54,0.94,5.67
2006-04-21 03:00:00.000 +0200,Overcast,rain,11.54,0.94,5.98
2006-04-21 04:00:00.000 +0200,Overcast,rain,11.49,0.94,6.14
2006-04-21 05:00:00.000 +0200,Overcast,rain,11.63,0.94,6.12
2006-04-21 06:00:00.000 +0200,Foggy,rain,12.05,0.91,4.53
2006-04-21 07:00:00.000 +0200,Foggy,rain,12.07,0.98,9.36
2006-04-21 08:00:00.000 +0200,Foggy,rain,12.73,0.94,7.36
2006-04-21 09:00:00.000 +0200,Overcast,rain,12.86,0.94,7.67
2006-04-21 10:00:00.000 +0200,Overcast,rain,13.94,0.88,7.62
2006-04-21 11:00:00.000 +0200,Overcast,rain,13.27,0.92,10.08
2006-04-21 12:00:00.000 +0200,Mostly Cloudy,rain,15.17,0.84,7.85
2006-04-21 13:00:00.000 +0200,Partly Cloudy,rain,17.34,0.73,6.86
2006-04-21 14:00:00.000 +0200,Partly Cloudy,rain,16.42,0.74,13.05
2006-04-21 15:00:00.000 +0200,Partly Cloudy,rain,17.48,0.72,13.32
2006-04-21 16:00:00.000 +0200,Mostly Cloudy,rain,15.37,0.74,7.98
2006-04-21 17:00:00.000 +0200,Partly Cloudy,rain,17.56,0.7,4.98
